county_name,county_deviation,male_deviation,female_deviation
Alameda County,1.1984381490404585,1.0490,0.8855
Alpine County,0.820669602060314,0.6149,0.7840
Amador County,0.8699343690288278,0.9416,0.6977
Butte County,0.7044113981889175,0.7969,0.6095
Calaveras County,0.8739386890421201,0.8930,0.7153
Colusa County,0.8124449613691119,0.6438,0.5267
Contra Costa County,1.3111074187920577,1.1690,0.9138
Del Norte County,0.6424025920079754,0.8460,0.5999
El Dorado County,1.046805682479023,1.1753,0.7856
Fresno County,0.7267757746946913,0.6866,0.6048
Glenn County,0.6999916922821301,0.6327,0.5600
Humboldt County,0.6792722439145966,0.7095,0.5852
Imperial County,0.6663786657805101,0.7160,0.5581
Inyo County,0.7607211099111074,0.8806,0.6082
Kern County,0.7757414638198886,0.7449,0.5613
Kings County,0.7608872642685054,0.6553,0.5400
Lake County,0.6143225056077095,0.8493,0.5283
Lassen County,0.8388635041953976,1.0507,0.6747
Los Angeles County,0.9045941679820553,0.7231,0.6758
Madera County,0.6849381075018692,0.6480,0.6138
Marin County,1.5676165157431254,1.4147,1.1180
Mariposa County,0.7518650826617929,0.7233,0.6365
Mendocino County,0.6978649165074354,0.6602,0.5813
Merced County,0.6812827116391127,0.6724,0.5534
Modoc County,0.6156849713383733,0.6612,0.6812
Mono County,0.915626817313284,0.8247,0.7933
Monterey County,0.920677909778184,0.6937,0.6266
Napa County,1.1401345850294924,0.8756,0.8088
Nevada County,0.9179363628811166,0.8958,0.6720
Orange County,1.2266677743623826,0.9348,0.7710
Placer County,1.223610534186259,1.1106,0.8643
Plumas County,0.7916424358228794,1.0005,0.7188
Riverside County,0.8957215252970009,0.7976,0.6424
Sacramento County,0.8802857854947246,0.8579,0.7434
San Benito County,1.109578798703996,0.8577,0.7256
San Bernardino County,0.8658635872725762,0.7500,0.6423
San Diego County,1.0196062141729667,0.8523,0.7220
San Francisco County,1.2782753177702084,1.1932,1.0052
San Joaquin County,0.8510260031569328,0.8003,0.6571
San Luis Obispo County,0.9594251059234028,0.8897,0.6676
San Mateo County,1.513018193902135,1.1000,0.9537
Santa Barbara County,1.0102683392871978,0.7952,0.6756
Santa Clara County,1.5260114646506604,1.3344,0.9894
Santa Cruz County,1.0846888759657722,0.9273,0.7963
Shasta County,0.6851541081664867,0.7898,0.5970
Sierra County,0.771770374678076,0.8955,0.8062
Siskiyou County,0.6165655894325829,0.6941,0.6058
Solano County,1.0533853950319847,0.8996,0.7970
Sonoma County,1.013873888842735,0.8932,0.7894
Stanislaus County,0.7943507518484673,0.7753,0.6149
Sutter County,0.7959292182437484,0.7683,0.6346
Tehama County,0.7220902218160671,0.7219,0.5634
Trinity County,0.5933039793968596,0.6241,0.5598
Tulare County,0.6589183351333389,0.6187,0.5333
Tuolumne County,0.8436321342527208,0.8370,0.6812
Ventura County,1.2712968347594915,0.9232,0.7557
Yolo County,0.914031735482263,0.8797,0.7461
Yuba County,0.6949239843814904,0.7283,0.5803
